2^1^4	1	1.02952380952380952300	236
2^1^5	1	12.72857142857142857100	240
2^1^6	1	44.52380952380952380900	240
2^1^7	1	75.44761904761904761900	245
2^1^8	1	91.61142857142857142800	246
2^1^9	1	97.58476190476190476100	251
2^2^0	1	99.36666666666666666600	260
2^2^1	1	99.83047619047619047600	264
2^2^2	1	99.94952380952380952300	272
2^1^4	1	1.02952380952380952300	236
2^1^5	1	12.72857142857142857100	240
2^1^6	1	44.52380952380952380900	240
2^1^7	1	75.44761904761904761900	245
2^1^8	1	91.61142857142857142800	246
2^1^9	1	97.58476190476190476100	251
2^2^0	1	99.36666666666666666600	260
2^2^1	1	99.83047619047619047600	264
2^2^2	1	99.94952380952380952300	272
