region,selectivity,method,grp,metric,value
Core,10,cuckoo,BRANCH,CPU_CLK_UNHALTED_REF,72402977.2277228
Core,20,cuckoo,BRANCH,CPU_CLK_UNHALTED_REF,49299145.049505
Core,30,cuckoo,BRANCH,CPU_CLK_UNHALTED_REF,49579948.1188119
Core,40,cuckoo,BRANCH,CPU_CLK_UNHALTED_REF,49877958.6138614
Core,50,cuckoo,BRANCH,CPU_CLK_UNHALTED_REF,50214769.1089109
Core,60,cuckoo,BRANCH,CPU_CLK_UNHALTED_REF,69337228.8118812
Core,70,cuckoo,BRANCH,CPU_CLK_UNHALTED_REF,80824740.1980198
Core,80,cuckoo,BRANCH,CPU_CLK_UNHALTED_REF,84493721.980198
Core,90,cuckoo,BRANCH,CPU_CLK_UNHALTED_REF,80325946.4356436
Core,10,cuckoo,BRANCH,INSTR_RETIRED_ANY,142505132.673267
Core,20,cuckoo,BRANCH,INSTR_RETIRED_ANY,142696322.772277
Core,30,cuckoo,BRANCH,INSTR_RETIRED_ANY,143014026.732673
Core,40,cuckoo,BRANCH,INSTR_RETIRED_ANY,143336032.673267
Core,50,cuckoo,BRANCH,INSTR_RETIRED_ANY,143508407.920792
Core,60,cuckoo,BRANCH,INSTR_RETIRED_ANY,143899993.069307
Core,70,cuckoo,BRANCH,INSTR_RETIRED_ANY,144178858.415842
Core,80,cuckoo,BRANCH,INSTR_RETIRED_ANY,144369418.811881
Core,90,cuckoo,BRANCH,INSTR_RETIRED_ANY,144658523.762376
Core,10,cuckoo,BRANCH,Instructionsperbranch,6.09154059405942
Core,20,cuckoo,BRANCH,Instructionsperbranch,6.10216534653465
Core,30,cuckoo,BRANCH,Instructionsperbranch,6.11555742574258
Core,40,cuckoo,BRANCH,Instructionsperbranch,6.13055742574257
Core,50,cuckoo,BRANCH,Instructionsperbranch,6.14208613861386
Core,60,cuckoo,BRANCH,Instructionsperbranch,6.1534900990099
Core,70,cuckoo,BRANCH,Instructionsperbranch,6.16849108910891
Core,80,cuckoo,BRANCH,Instructionsperbranch,6.17782475247525
Core,90,cuckoo,BRANCH,Instructionsperbranch,6.19058613861386
Core,10,cuckoo,BRANCH,RDTSCRuntime[s],0.0280294455445544
Core,20,cuckoo,BRANCH,RDTSCRuntime[s],0.0191271683168317
Core,30,cuckoo,BRANCH,RDTSCRuntime[s],0.0192502178217822
Core,40,cuckoo,BRANCH,RDTSCRuntime[s],0.019373099009901
Core,50,cuckoo,BRANCH,RDTSCRuntime[s],0.0195024950495049
Core,60,cuckoo,BRANCH,RDTSCRuntime[s],0.026903801980198
Core,70,cuckoo,BRANCH,RDTSCRuntime[s],0.031374900990099
Core,80,cuckoo,BRANCH,RDTSCRuntime[s],0.0328152475247525
Core,90,cuckoo,BRANCH,RDTSCRuntime[s],0.0312145643564356
Core,10,cuckoo,BRANCH,Runtime(RDTSC)[s],0.0280267326732673
Core,20,cuckoo,BRANCH,Runtime(RDTSC)[s],0.0191247524752475
Core,30,cuckoo,BRANCH,Runtime(RDTSC)[s],0.0192514851485149
Core,40,cuckoo,BRANCH,Runtime(RDTSC)[s],0.0193712871287129
Core,50,cuckoo,BRANCH,Runtime(RDTSC)[s],0.0195
Core,60,cuckoo,BRANCH,Runtime(RDTSC)[s],0.0269049504950495
Core,70,cuckoo,BRANCH,Runtime(RDTSC)[s],0.0313752475247525
Core,80,cuckoo,BRANCH,Runtime(RDTSC)[s],0.0328138613861386
Core,90,cuckoo,BRANCH,Runtime(RDTSC)[s],0.0312108910891089
Core,10,cuckoo,BRANCH,Runtimeunhalted[s],0.0268772277227723
Core,20,cuckoo,BRANCH,Runtimeunhalted[s],0.0226881188118812
Core,30,cuckoo,BRANCH,Runtimeunhalted[s],0.0228148514851485
Core,40,cuckoo,BRANCH,Runtimeunhalted[s],0.0229544554455445
Core,50,cuckoo,BRANCH,Runtimeunhalted[s],0.0230910891089109
Core,60,cuckoo,BRANCH,Runtimeunhalted[s],0.0260594059405941
Core,70,cuckoo,BRANCH,Runtimeunhalted[s],0.0300118811881188
Core,80,cuckoo,BRANCH,Runtimeunhalted[s],0.0313663366336634
Core,90,cuckoo,BRANCH,Runtimeunhalted[s],0.0299168316831683
Core,10,cuckoo,DATA,Clock[MHz],2529.62007425743
Core,20,cuckoo,DATA,Clock[MHz],3092.23538514851
Core,30,cuckoo,DATA,Clock[MHz],3092.17582574258
Core,40,cuckoo,DATA,Clock[MHz],3092.13769306931
Core,50,cuckoo,DATA,Clock[MHz],3091.17850693069
Core,60,cuckoo,DATA,Clock[MHz],2754.94606336634
Core,70,cuckoo,DATA,Clock[MHz],2494.08948613861
Core,80,cuckoo,DATA,Clock[MHz],2494.08586534654
Core,90,cuckoo,DATA,Clock[MHz],2494.04914059406
Core,10,cuckoo,DATA,CPI,0.499081188118812
Core,20,cuckoo,DATA,CPI,0.412491089108911
Core,30,cuckoo,DATA,CPI,0.415691089108911
Core,40,cuckoo,DATA,CPI,0.415333663366337
Core,50,cuckoo,DATA,CPI,0.417821782178218
Core,60,cuckoo,DATA,CPI,0.508523762376238
Core,70,cuckoo,DATA,CPI,0.541987128712871
Core,80,cuckoo,DATA,CPI,0.540611881188119
Core,90,cuckoo,DATA,CPI,0.544023762376238
Core,10,cuckoo,DATA,CPU_CLK_UNHALTED_CORE,71228423.960396
Core,20,cuckoo,DATA,CPU_CLK_UNHALTED_CORE,58889489.9009901
Core,30,cuckoo,DATA,CPU_CLK_UNHALTED_CORE,59498035.049505
Core,40,cuckoo,DATA,CPU_CLK_UNHALTED_CORE,59462290.990099
Core,50,cuckoo,DATA,CPU_CLK_UNHALTED_CORE,59974428.3168317
Core,60,cuckoo,DATA,CPU_CLK_UNHALTED_CORE,73139488.1188119
Core,70,cuckoo,DATA,CPU_CLK_UNHALTED_CORE,78112497.1287129
Core,80,cuckoo,DATA,CPU_CLK_UNHALTED_CORE,78142852.7722772
Core,90,cuckoo,DATA,CPU_CLK_UNHALTED_CORE,78627360.6930693
Core,10,cuckoo,DATA,CPU_CLK_UNHALTED_REF,73114354.950495
Core,20,cuckoo,DATA,CPU_CLK_UNHALTED_REF,49361614.6534653
Core,30,cuckoo,DATA,CPU_CLK_UNHALTED_REF,49872646.2376238
Core,40,cuckoo,DATA,CPU_CLK_UNHALTED_REF,49843050.1980198
Core,50,cuckoo,DATA,CPU_CLK_UNHALTED_REF,50288334.0594059
Core,60,cuckoo,DATA,CPU_CLK_UNHALTED_REF,70217155.6435644
Core,70,cuckoo,DATA,CPU_CLK_UNHALTED_REF,81175786.9306931
Core,80,cuckoo,DATA,CPU_CLK_UNHALTED_REF,81207315.2475248
Core,90,cuckoo,DATA,CPU_CLK_UNHALTED_REF,81710959.5049505
Core,10,cuckoo,DATA,INSTR_RETIRED_ANY,142700631.683168
Core,20,cuckoo,DATA,INSTR_RETIRED_ANY,142755725.742574
Core,30,cuckoo,DATA,INSTR_RETIRED_ANY,143120882.178218
Core,40,cuckoo,DATA,INSTR_RETIRED_ANY,143157816.831683
Core,50,cuckoo,DATA,INSTR_RETIRED_ANY,143532145.544554
Core,60,cuckoo,DATA,INSTR_RETIRED_ANY,143808420.792079
Core,70,cuckoo,DATA,INSTR_RETIRED_ANY,144121809.90099
Core,80,cuckoo,DATA,INSTR_RETIRED_ANY,144540578.217822
Core,90,cuckoo,DATA,INSTR_RETIRED_ANY,144509994.059406
Core,10,cuckoo,DATA,Loadtostoreratio,1.25170297029703
Core,20,cuckoo,DATA,Loadtostoreratio,1.25459603960396
Core,30,cuckoo,DATA,Loadtostoreratio,1.25806435643564
Core,40,cuckoo,DATA,Loadtostoreratio,1.26030594059406
Core,50,cuckoo,DATA,Loadtostoreratio,1.26359603960396
Core,60,cuckoo,DATA,Loadtostoreratio,1.26602772277228
Core,70,cuckoo,DATA,Loadtostoreratio,1.26970495049505
Core,80,cuckoo,DATA,Loadtostoreratio,1.27342574257426
Core,90,cuckoo,DATA,Loadtostoreratio,1.2756396039604
Core,10,cuckoo,DATA,MEM_INST_RETIRED_ALL_LOADS,38658399.9009901
Core,20,cuckoo,DATA,MEM_INST_RETIRED_ALL_LOADS,38783667.029703
Core,30,cuckoo,DATA,MEM_INST_RETIRED_ALL_LOADS,38927726.2376238
Core,40,cuckoo,DATA,MEM_INST_RETIRED_ALL_LOADS,39035301.4851485
Core,50,cuckoo,DATA,MEM_INST_RETIRED_ALL_LOADS,39174947.5247525
Core,60,cuckoo,DATA,MEM_INST_RETIRED_ALL_LOADS,39289360.7920792
Core,70,cuckoo,DATA,MEM_INST_RETIRED_ALL_LOADS,39441378.3168317
Core,80,cuckoo,DATA,MEM_INST_RETIRED_ALL_LOADS,39617142.2772277
Core,90,cuckoo,DATA,MEM_INST_RETIRED_ALL_LOADS,39704934.3564356
Core,10,cuckoo,DATA,MEM_INST_RETIRED_ALL_STORES,30884618.9108911
Core,20,cuckoo,DATA,MEM_INST_RETIRED_ALL_STORES,30913030
Core,30,cuckoo,DATA,MEM_INST_RETIRED_ALL_STORES,30943030
Core,40,cuckoo,DATA,MEM_INST_RETIRED_ALL_STORES,30973030
Core,50,cuckoo,DATA,MEM_INST_RETIRED_ALL_STORES,31003030
Core,60,cuckoo,DATA,MEM_INST_RETIRED_ALL_STORES,31033541.980198
Core,70,cuckoo,DATA,MEM_INST_RETIRED_ALL_STORES,31063485.049505
Core,80,cuckoo,DATA,MEM_INST_RETIRED_ALL_STORES,31110443.8613861
Core,90,cuckoo,DATA,MEM_INST_RETIRED_ALL_STORES,31125464.2574257
Core,10,cuckoo,DATA,RDTSCRuntime[s],0.0283247128712871
Core,20,cuckoo,DATA,RDTSCRuntime[s],0.0191399207920792
Core,30,cuckoo,DATA,RDTSCRuntime[s],0.0193622574257426
Core,40,cuckoo,DATA,RDTSCRuntime[s],0.0193556534653465
Core,50,cuckoo,DATA,RDTSCRuntime[s],0.0195397920792079
Core,60,cuckoo,DATA,RDTSCRuntime[s],0.0273036930693069
Core,70,cuckoo,DATA,RDTSCRuntime[s],0.0315162772277228
Core,80,cuckoo,DATA,RDTSCRuntime[s],0.031535801980198
Core,90,cuckoo,DATA,RDTSCRuntime[s],0.0318037227722772
Core,10,cuckoo,DATA,Runtime(RDTSC)[s],0.0283306930693069
Core,20,cuckoo,DATA,Runtime(RDTSC)[s],0.019139603960396
Core,30,cuckoo,DATA,Runtime(RDTSC)[s],0.0193633663366337
Core,40,cuckoo,DATA,Runtime(RDTSC)[s],0.0193544554455446
Core,50,cuckoo,DATA,Runtime(RDTSC)[s],0.0195336633663367
Core,60,cuckoo,DATA,Runtime(RDTSC)[s],0.0273049504950495
Core,70,cuckoo,DATA,Runtime(RDTSC)[s],0.0315188118811881
Core,80,cuckoo,DATA,Runtime(RDTSC)[s],0.0315346534653465
Core,90,cuckoo,DATA,Runtime(RDTSC)[s],0.0318039603960396
Core,10,cuckoo,DATA,Runtimeunhalted[s],0.0274851485148515
Core,20,cuckoo,DATA,Runtimeunhalted[s],0.0227217821782178
Core,30,cuckoo,DATA,Runtimeunhalted[s],0.0229524752475248
Core,40,cuckoo,DATA,Runtimeunhalted[s],0.0229386138613861
Core,50,cuckoo,DATA,Runtimeunhalted[s],0.0231425742574257
Core,60,cuckoo,DATA,Runtimeunhalted[s],0.028219801980198
Core,70,cuckoo,DATA,Runtimeunhalted[s],0.0301376237623762
Core,80,cuckoo,DATA,Runtimeunhalted[s],0.0301504950495049
Core,90,cuckoo,DATA,Runtimeunhalted[s],0.0303316831683168
Core,10,cuckoo,FLOPS_AVX,Clock[MHz],2494.04083168317
Core,20,cuckoo,FLOPS_AVX,Clock[MHz],3089.26643960396
Core,30,cuckoo,FLOPS_AVX,Clock[MHz],3091.73361584158
Core,40,cuckoo,FLOPS_AVX,Clock[MHz],3092.16368910891
Core,50,cuckoo,FLOPS_AVX,Clock[MHz],3092.18590891089
Core,60,cuckoo,FLOPS_AVX,Clock[MHz],3092.22089405941
Core,70,cuckoo,FLOPS_AVX,Clock[MHz],2494.08008811881
Core,80,cuckoo,FLOPS_AVX,Clock[MHz],2494.1026019802
Core,90,cuckoo,FLOPS_AVX,Clock[MHz],2494.08666633663
Core,10,cuckoo,FLOPS_AVX,CPI,0.517993069306931
Core,20,cuckoo,FLOPS_AVX,CPI,0.41350396039604
Core,30,cuckoo,FLOPS_AVX,CPI,0.415617821782178
